service_id,date,exception_type
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250507,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250507,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250507,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250508,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250508,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250508,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250509,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250509,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250509,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250512,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250512,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250512,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250513,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250513,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250513,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250514,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250514,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250514,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250515,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250515,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250515,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250516,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250516,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250516,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250519,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250519,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250519,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250520,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250520,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250520,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250521,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250521,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250521,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250522,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250522,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250522,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250523,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250523,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250523,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250526,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250526,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250526,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250527,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250527,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250527,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250528,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250528,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250528,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250529,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250529,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250529,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250530,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250530,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250530,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250602,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250602,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250602,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250603,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250603,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250603,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250604,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250604,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250604,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250605,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250605,1
