trans_id,lang,translation,category,station_sid,course_sid
原田橋,zh-tw,原田橋,stop_name,da3a019c-9a5b-4860-b50c-cddfb2fbd280,
宮の下,en,Miyanoshita,stop_name,0a632095-4600-400e-85e5-94b66ba1a30f,
宮の下,ko,미야노시타,stop_name,0a632095-4600-400e-85e5-94b66ba1a30f,
宮の下,zh-ch,宫之下,stop_name,0a632095-4600-400e-85e5-94b66ba1a30f,
宮の下,zh-tw,宮之下,stop_name,0a632095-4600-400e-85e5-94b66ba1a30f,
旭橋西,en,Asahibashi-nishi,stop_name,945657d6-947d-47e8-992c-e9caa34c4850,
旭橋西,ko,아사히바시 니시,stop_name,945657d6-947d-47e8-992c-e9caa34c4850,
旭橋西,zh-ch,旭桥西,stop_name,945657d6-947d-47e8-992c-e9caa34c4850,
旭橋西,zh-tw,旭橋西,stop_name,945657d6-947d-47e8-992c-e9caa34c4850,
中広三丁目,en,Nakahiro-sanchome (Nakahiro 3),stop_name,a0f6308f-366f-4e71-81ee-c6680bef0a60,
中広三丁目,ko,나카히로 3초메,stop_name,a0f6308f-366f-4e71-81ee-c6680bef0a60,
中広三丁目,zh-ch,中广三丁目,stop_name,a0f6308f-366f-4e71-81ee-c6680bef0a60,
中広三丁目,zh-tw,中廣三丁目,stop_name,a0f6308f-366f-4e71-81ee-c6680bef0a60,
龍仙寺前,en,Ryusenji-mae (Ryusenji Temple),stop_name,b3bcceaa-1947-42d3-8498-776be91a34ea,
龍仙寺前,ko,류센지 절,stop_name,b3bcceaa-1947-42d3-8498-776be91a34ea,
龍仙寺前,zh-ch,龙仙寺前,stop_name,b3bcceaa-1947-42d3-8498-776be91a34ea,
龍仙寺前,zh-tw,龍仙寺前,stop_name,b3bcceaa-1947-42d3-8498-776be91a34ea,
あさひが丘展望台入口,en,Asahigaoka Tembodai-iriguchi (Asahigaoka Lookout),stop_name,38f86cdc-e74a-466e-9507-eb24707f3cb8,
あさひが丘展望台入口,ko,아사히가오카 전망대,stop_name,38f86cdc-e74a-466e-9507-eb24707f3cb8,
あさひが丘展望台入口,zh-ch,旭丘展望台入口,stop_name,38f86cdc-e74a-466e-9507-eb24707f3cb8,
あさひが丘展望台入口,zh-tw,旭丘展望臺入口,stop_name,38f86cdc-e74a-466e-9507-eb24707f3cb8,
沼田ＰＡ,en,Numata Parking,stop_name,1c6d1bea-17e8-4321-9498-f5686893e947,
沼田ＰＡ,ko,누마타 PA （고속）,stop_name,1c6d1bea-17e8-4321-9498-f5686893e947,
