station_sid,daiya_sid,course_station_desc,course_station_desc_symbol
a76f424b-b57d-4b75-9205-b2dfd42efb27,dd0b8029-c5ab-4064-a70f-00191fdae573,,
db20d242-67c3-4ff4-9304-13e313b4000f,dd0b8029-c5ab-4064-a70f-00191fdae573,,
e4ef19e2-41ad-4350-8736-2bc423908432,dd0b8029-c5ab-4064-a70f-00191fdae573,,
6d84218f-0839-40ac-96fa-f886c6442fbd,dd0b8029-c5ab-4064-a70f-00191fdae573,,
f5448d98-ca75-4c36-a8c3-99d4ffb4efc6,0be3912d-a88a-4004-8308-001bb7c0bc65,,
d1229ae4-b059-4b5e-9b3d-70839bd76194,0be3912d-a88a-4004-8308-001bb7c0bc65,,
7be782b5-3c91-449a-9f82-d59724055ba4,0be3912d-a88a-4004-8308-001bb7c0bc65,,
6662d649-d8fa-4373-9aac-3c5a0a6e66be,0be3912d-a88a-4004-8308-001bb7c0bc65,,
a793149b-a585-42c9-99ae-56b5dd3f96ac,0be3912d-a88a-4004-8308-001bb7c0bc65,,
e922355a-c2d4-4475-9fbb-8d9d873f6694,0be3912d-a88a-4004-8308-001bb7c0bc65,,
cc57f8ba-6c2f-404a-8dfc-de2a06953d37,0be3912d-a88a-4004-8308-001bb7c0bc65,,
1852e733-2012-494c-badb-018e9bb7cafa,0be3912d-a88a-4004-8308-001bb7c0bc65,,
cb47baa7-cea2-4f58-a338-fe9c58589898,0be3912d-a88a-4004-8308-001bb7c0bc65,,
f8cfc8d6-828a-4288-9927-d5d8f44b8e1a,0be3912d-a88a-4004-8308-001bb7c0bc65,,
b6d2c65d-c032-4f5f-95d4-6e8b55ab7d66,0be3912d-a88a-4004-8308-001bb7c0bc65,,
128c0793-6a85-4db1-9ef2-ae745ac20bec,0be3912d-a88a-4004-8308-001bb7c0bc65,,
6a9e2679-d376-4c18-97de-c940b464a8ae,0be3912d-a88a-4004-8308-001bb7c0bc65,,
d92a72f1-2134-4fff-b894-8716e6a9446e,0be3912d-a88a-4004-8308-001bb7c0bc65,,
860b9bfc-fc7d-4900-a0e1-ab4135def4f4,0be3912d-a88a-4004-8308-001bb7c0bc65,,
96357a2d-d61d-49fd-b771-8bb523222a4f,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
81270f07-54a3-4ada-92e4-d3a0a0bff0bb,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
ffe57737-4be6-4fbb-9bcd-9d37362a3122,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
b1fb6bed-d0b3-4010-811b-d44a1d0b82b9,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
6bbc544a-07b5-4faf-a8c5-c358fb7a93aa,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
4a122f72-9bb1-4f7b-92ca-8ef6bbd98ef2,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
65b3ad17-7ac5-471d-8510-d2011d17162c,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
0595016c-016f-45fd-9151-945dac5a3774,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
d2c36af9-b8cf-426b-b907-4dfe0ed26b75,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
451ab91a-9ca6-412d-ad90-59761cce34ee,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
de0cd77e-e93c-4e7d-921c-06feaa20db2d,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
97690a0a-37bd-4c0a-8298-d4458e4c6814,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
fdb01616-552f-49aa-8d93-56939cb83889,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
70946467-531d-4ae7-8c9f-fb0b94ea5725,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
f3a03e19-7081-422b-8c22-db0d37d942a4,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
3d96c023-d097-42b7-a690-c342cdcc261f,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
0cccf9db-60bf-48b0-bf67-308ccb3c331a,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
9539954e-4195-4ef1-9284-02ec97983a22,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
6529af85-ed30-4ec2-98cf-14e74623e570,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
ed7a9ff8-0ec4-4ce0-b6f6-8851a53151c2,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
42d5e29c-f3b0-4509-b09f-a99f0cf7f905,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
cad0f26e-9b41-4d3d-9d56-f0e0e9fbac83,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
c738a69c-9c94-47ce-8d72-9a8f327698d5,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
4f471c7d-e52b-491c-b209-2ad8ef7e5d3c,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
6d497127-dfeb-4118-8741-bfa1c3a2d38a,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
b21d6eb9-735b-4d32-95b7-b103c6b37972,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
1e56861d-69a5-4591-90ae-fd5106394fbf,5c9ad97e-8375-480c-b84e-002037fd0bfe,,
1b6509eb-43a2-4f89-8887-9567c374ce09,e6ec7906-699a-4555-b92b-0028ec68595f,,
0521f95e-2dcd-4c31-889e-80234da219b5,e6ec7906-699a-4555-b92b-0028ec68595f,,
adcd1300-89be-43de-89fb-add52ed441f4,e6ec7906-699a-4555-b92b-0028ec68595f,,
23c00041-5597-4a4e-8e2b-1b9986c012e6,e6ec7906-699a-4555-b92b-0028ec68595f,,
383363e3-6c34-4e75-8aa0-c79e865c17a6,e6ec7906-699a-4555-b92b-0028ec68595f,,
ef61ae7d-55df-412a-a8a7-5313702bd71d,e6ec7906-699a-4555-b92b-0028ec68595f,,
88ff51ce-c9ea-418d-bc09-7fa8035b1fce,e6ec7906-699a-4555-b92b-0028ec68595f,,
f2c6429f-d349-4042-905a-bd1fc8de8a2d,e6ec7906-699a-4555-b92b-0028ec68595f,,
59c7d76b-4654-4d14-aeaa-90eeb9f4d53a,e6ec7906-699a-4555-b92b-0028ec68595f,,
eaf4fb74-a63f-46cb-87bf-2123340e7b3b,e6ec7906-699a-4555-b92b-0028ec68595f,,
06ee1a8e-22b0-4ab1-bcd6-7840254eb747,e6ec7906-699a-4555-b92b-0028ec68595f,,
cb5ec2d9-7616-4c3f-979c-359f44704585,e6ec7906-699a-4555-b92b-0028ec68595f,,
69268e30-f5e1-4127-9005-9301790733ba,e6ec7906-699a-4555-b92b-0028ec68595f,,
dacd8669-596a-4cfe-bfdf-cdcd2ebc0b04,e6ec7906-699a-4555-b92b-0028ec68595f,,
6d84218f-0839-40ac-96fa-f886c6442fbd,e6ec7906-699a-4555-b92b-0028ec68595f,,
49fb4e3d-6981-4c59-b889-16f8ec768bb4,81c58aaf-f461-42c3-b988-00327c135caf,,
a8654b62-4f11-4f8e-aa90-af6524a711f6,81c58aaf-f461-42c3-b988-00327c135caf,,
eee2245d-eb97-41e3-aa42-b8252ca320aa,81c58aaf-f461-42c3-b988-00327c135caf,,
358eabcf-eb3e-43f9-b997-468278b62780,81c58aaf-f461-42c3-b988-00327c135caf,,
9959129f-370c-4433-933f-e377c805e0ce,81c58aaf-f461-42c3-b988-00327c135caf,,
679c9e98-e62e-4bf2-89fc-7c98f430e777,81c58aaf-f461-42c3-b988-00327c135caf,,
